Known As,Full Name,best_position,position_group,nationality,age,overall,total_stats,value_eur,fitted,residual,undervaluation
G. Morris,Glenn Morris,GK,GK,England,38,63,1192,50000,5.497982310287476,-0.7990036201486772,0.7990036201486772
Kwak Kwang Sun,Kwang Sun Kwak,CB,Defense,Korea Republic,36,60,1594,45000,5.448512745305198,-0.795290580648599,0.795290580648599
I. Pillud,Iván Pillud,RB,Defense,Argentina,36,68,1862,275000,6.2314684618062275,-0.792134188726175,0.792134188726175
Edenildo Lagoas,Edenildo Eloi Lagoas Regalo,RB,Defense,Brazil,22,67,1790,1100000,6.830806927186615,-0.7894138472154042,0.7894138472154042
E. Corvi,Edoardo Corvi,GK,GK,Italy,21,51,916,100000,5.788971867288202,-0.7889675243650975,0.7889675243650975
E. Guarna,Enrico Guarna,GK,GK,Italy,36,64,1106,60000,5.565892214535087,-0.7877337259703969,0.7877337259703969
Euller,Elosman Euller Silva Cavalcante,LB,Defense,Brazil,27,68,1898,1200000,6.865264489995262,-0.7860828820357195,0.7860828820357195
H. Afful,Harrison Afful,RB,Defense,Ghana,36,67,1881,230000,6.1477054461887,-0.7859757219383345,0.7859757219383345
Yang Sang Min,Sang Min Yang,CB,Defense,Korea Republic,38,57,1555,30000,5.262039185018818,-0.7849034540576945,0.7849034540576945
R. Romeo,Roberto Romeo,RB,Defense,Italy,32,62,1761,275000,6.220602504846787,-0.7812682317667345,0.7812682317667345
D. Iordache,David Iordache,CB,Defense,Romania,17,52,1506,210000,6.1030085946631445,-0.7807872318651876,0.7807872318651876
E. Alfonso,Enrico Alfonso,GK,GK,Italy,34,67,1251,170000,6.01060419396311,-0.7801527179189272,0.7801527179189272
J. Corozo,Jonathan Corozo,CB,Defense,Ecuador,17,57,1619,400000,6.37830049431414,-0.7762394172513298,0.7762394172513298
J. Cuffaut,Joffrey Cuffaut,CB,Defense,France,34,70,1918,525000,6.49570099432255,-0.7755408636897965,0.7755408636897965
T. Bu Haymid,Tawfiq Bu Haymid,LB,Defense,Saudi Arabia,34,64,1822,210000,6.095430279344129,-0.7732089165461717,0.7732089165461717
J. O'Doherty,Jordan O'Doherty,CAM,Attack,Australia,24,60,1777,325000,6.284335551218524,-0.7724508539509918,0.7724508539509918
R. Milsom,Robert Milsom,LB,Defense,England,35,62,1742,120000,5.851159737091737,-0.7719748719385091,0.7719748719385091
C. McCann,Chris McCann,CB,Defense,Republic of Ireland,34,59,1684,100000,5.759233092159727,-0.7592287492366223,0.7592287492366223
R. O'Donnell,Richard O'Donnell,GK,GK,England,33,60,1164,80000,5.658421667585729,-0.7553262519466903,0.7553262519466903
Yoo Hyun,Hyun Yoo,GK,GK,Korea Republic,37,64,1186,60000,5.532738663424952,-0.7545801748602612,0.7545801748602612
I. Khune,Itumeleng Khune,GK,GK,South Africa,35,70,1344,180000,6.009121392370345,-0.7538464745266191,0.7538464745266191
J. Jacobson,Joe Jacobson,CB,Defense,Wales,35,68,1908,325000,6.259213812591912,-0.74732911532438,0.74732911532438
A. Smrcka,Armand Smrcka,CAM,Attack,Austria,19,60,1757,525000,6.464264600527466,-0.7441044698947126,0.7441044698947126
A. Salvi,Alessandro Salvi,RB,Defense,Italy,34,70,1914,575000,6.501881552816966,-0.7422129528332411,0.7422129528332411
A. Askar,Amin Askar,RW,Attack,Ethiopia,36,61,1716,70000,5.586958779231411,-0.7418545350545855,0.7418545350545855
M. Defendi,Marino Defendi,RM,Midfield,Italy,36,63,1825,150000,5.917681388983179,-0.7415872346406029,0.7415872346406029
E. Topcu,Emre Topcu,CAM,Attack,Republic of Ireland,16,49,1404,100000,5.7414739081571735,-0.7414695652340688,0.7414695652340688
Coke,Jorge Andújar Moreno,CB,Defense,Spain,35,70,1905,500000,6.438040605702099,-0.7390697327779847,0.7390697327779847
D. Massey,Dane Massey,CB,Defense,Republic of Ireland,34,58,1612,70000,5.583825864063518,-0.7387216198866922,0.7387216198866922
Tan Wangsong,Wangsong Tan,CB,Defense,China PR,36,57,1617,35000,5.28239358927625,-0.7383131366894649,0.7383131366894649
A. Lindegaard,Anders Lindegaard,GK,GK,Denmark,38,64,1198,60000,5.516242545573853,-0.7380840570091625,0.7380840570091625
I. Don,Ignacio Don,GK,GK,Argentina,40,64,1181,60000,5.513416672459786,-0.7352581838950956,0.7352581838950956
Gianni Cassaró,Gianni Cassaró Usart,GK,GK,Spain,30,59,1155,170000,5.963466125567657,-0.733014649523474,0.733014649523474
S. Saftig,Sebastian Saftig,CB,Defense,Germany,20,50,1349,90000,5.685772631247176,-0.7315252963404166,0.7315252963404166
Javi López,Javier López Rodríguez,RB,Defense,Spain,36,70,1856,350000,6.272935586269489,-0.7288663010796093,0.7288663010796093
J. Macías,Juan Macías,CAM,Attack,Ecuador,17,59,1704,500000,6.426606702690913,-0.7276358297667986,0.7276358297667986
B. Comley,Brandon Comley,CB,Defense,Montserrat,26,60,1700,275000,6.164057723118175,-0.7247234500381223,0.7247234500381223
C. Rooney,Cameron Rooney,CAM,Attack,England,17,50,1434,110000,5.765186631051768,-0.7237899977798357,0.7237899977798357
Juanfran,Juan Francisco Moreno Fuertes,RB,Defense,Spain,33,70,1949,825000,6.636695223495161,-0.7202407485280009,0.7202407485280009
F. Bell,Finley Bell,CAM,Attack,England,17,50,1431,110000,5.75787799654776,-0.7164813632758271,0.7164813632758271
Wagner Orsinho,Wagner Mauro Orsi Vasquez,LB,Defense,Brazil,22,71,1866,2000000,7.01595900128817,-0.7149287884770024,0.7149287884770024
Dani Barrio,Daniel Barrio Álvarez,GK,GK,Spain,35,69,1219,150000,5.89073038231751,-0.7146362279749336,0.7146362279749336
S. Lynch,Scott Lynch,RB,Defense,Republic of Ireland,22,51,1400,80000,5.616116896185836,-0.7130214805467974,0.7130214805467974
Jonaldo Monteiro,Jonaldo Kauã Monteiro Moura,LB,Defense,Brazil,22,70,1836,1700000,6.942872656248083,-0.7124234794025419,0.7124234794025419
C. Săpunaru,Cristian Săpunaru,CB,Defense,Romania,38,69,1903,250000,6.10984078748383,-0.7118990416373396,0.7118990416373396
José Oliveira,José Pedro Ferreira Oliveira,GK,GK,Portugal,20,60,1251,575000,6.468513560753077,-0.7088449607693521,0.7088449607693521
P. Tomasik,Piotr Tomasik,LB,Defense,Poland,34,65,1812,250000,6.106594532110974,-0.7086527862644836,0.7086527862644836
M. Çağıran,Musa Çağıran,CB,Defense,Turkey,29,63,1816,400000,6.309466289671779,-0.7074052126089683,0.7074052126089683
R. Delgado,Rafael Delgado,CB,Defense,Argentina,32,73,2105,2000000,7.006390480099468,-0.7053602672883006,0.7053602672883006
L. Bendel,Luca Bendel,GK,GK,Germany,18,57,1068,325000,6.216589377638033,-0.7047046803705008,0.7047046803705008
Botelhinonsa,João Rodolfo Botelho Maia,RB,Defense,Brazil,22,67,1755,1100000,6.745539524639847,-0.7041464446686359,0.7041464446686359
A. Rühlemann,Arne Rühlemann,CAM,Attack,Germany,17,51,1437,150000,5.878579441729358,-0.7024852873867822,0.7024852873867822
G. Poynton,Georgie Poynton,RB,Defense,Republic of Ireland,24,58,1629,240000,6.082548018257568,-0.7023349669893904,0.7023349669893904
P. Frattali,Pierluigi Frattali,GK,GK,Italy,36,66,1143,90000,5.656032040084528,-0.7017847051777686,0.7017847051777686
Ł. Sierpina,Łukasz Sierpina,LB,Defense,Poland,34,62,1718,150000,5.8775906509853675,-0.7014964966427915,0.7014964966427915
D. Liotti,Daniele Liotti,LB,Defense,Italy,28,68,1900,1100000,6.742158527001059,-0.7007654470298474,0.7007654470298474
C. Mulgrew,Charlie Mulgrew,CB,Defense,Scotland,36,68,1838,220000,6.0429483516312414,-0.7005236967476947,0.7005236967476947
T. Streller,Till Streller,CB,Defense,Germany,19,52,1468,210000,6.021412455773323,-0.699191092975366,0.699191092975366
João Bardinho,João Rodolfo Bardinho Barros,LB,Defense,Brazil,26,72,1958,2300000,7.057167835942571,-0.6954398111013314,0.6954398111013314
Romário,Romário Pereira Sipião,CAM,Attack,Brazil,36,65,1800,230000,6.056168090823301,-0.6944383665729355,0.6944383665729355
N. Lebreton,Noé Lebreton,RB,Defense,France,18,53,1452,250000,6.0921169285739944,-0.6941751827275038,0.6941751827275038
O. Wendt,Oscar Wendt,LB,Defense,Sweden,36,68,1894,275000,6.132291418423937,-0.6929571453438843,0.6929571453438843
Enzo Merques,Enzo Diogo Merques Gomes,LB,Defense,Brazil,26,73,2004,3000000,7.1692335650040375,-0.6921121655195721,0.6921121655195721
J. Sánchez Miño,Juan Sánchez Miño,LB,Defense,Argentina,32,70,1991,1100000,6.728662368947137,-0.6872692889759255,0.6872692889759255
Pedro Santos,Pedro Miguel Martins Santos,LB,Defense,Portugal,34,71,2001,700000,6.5315121380833165,-0.6864134776488147,0.6864134776488147
S. Giovane,Samuel Giovane,CDM,Midfield,Italy,19,59,1706,525000,6.405193370065434,-0.6850332394326806,0.6850332394326806
S. Tinubu,Sam Tinubu,CDM,Midfield,England,17,50,1448,100000,5.6821493328266905,-0.6821449899035859,0.6821449899035859
D. Kempe,Dennis Kempe,LB,Defense,Germany,36,64,1694,130000,5.794575105334045,-0.6806284123132729,0.6806284123132729
S. Eastwood,Simon Eastwood,GK,GK,England,33,62,1219,130000,5.792413300159222,-0.67846660713845,0.67846660713845
N. Rossen,Nils Rossen,CAM,Attack,Netherlands,16,58,1612,500000,6.377176078863304,-0.6782052059391894,0.6782052059391894
