Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,value_eur,wage_eur,overall,potential,total_stats,base_stats,age,height_cm,weight_kg,best_position,positions_played,nationality,preferred_foot,weak_foot_rating,pace_total,shooting_total,passing_total,dribbling_total,defending_total,physicality_total,position_group,log_value,log_wage,nationality_band,total_stats_z,age_z,pace_z,shooting_z,passing_z,dribbling_z,defending_z,physicality_z,fitted,residual,undervaluation,undervalue_rank,undervalued_flag,label
M. Debuchy,Mathieu Debuchy,70,70,275000,"CB,RB",CB,France,https://cdn.sofifa.net/players/158/626/23_60.png,36,176,76,1947,402,Valenciennes FC,3000,481000,CB,2023,26,2021,-,Right,3,3,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,61,65,67,68,71,70,68,62,68,68,61,65,72,61,66,70,62,61,70,73,69,69,80,67,70,66,73,73,69,64,63,75,74,68,66,8,9,7,15,10,70,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70,20,275000,3000,70,70,1947,402,36,176,76,CB,"CB,RB",France,Right,3,61,65,67,68,71,70,Defense,5.4393342730800525,3.477265995424853,France,1.2526870386448359,2.26673445677693,-0.6543253736724938,0.8142601304299862,0.912700519447554,0.5148325507978125,1.262229001032314,0.5364824590639206,6.474889816127033,-1.0355555430469803,1.0355555430469803,0.005935056782514409,TRUE,M. Debuchy
Júnior Morais,Iraneuton Sousa Morais Júnior,67,67,325000,"LB,RB",LB,Brazil,https://cdn.sofifa.net/players/233/871/23_60.png,35,176,77,1904,402,Rapid București,3000,439000,LB,2023,13,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,67,68,65,66,65,71,69,66,59,64,57,66,60,62,64,67,68,67,65,61,69,74,59,64,70,71,83,66,62,66,65,57,64,67,66,12,13,14,10,14,67,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,20,325000,3000,67,67,1904,402,35,176,77,LB,"LB,RB",Brazil,Left,3,67,68,65,66,65,71,Defense,5.511884697267532,3.477265995424853,Brazil,1.0958427461800035,2.054982943518909,-0.09307241976956791,1.0343263630896884,0.706999705953815,0.30066475171695006,0.8964524424377496,0.6409171866567727,6.5140365120662125,-1.0021518147986805,1.0021518147986805,0.006049192489870456,TRUE,Júnior Morais
Kim Chang Soo,Chang Soo Kim,59,59,50000,"RB,CB,LWB",RB,Korea Republic,https://cdn.sofifa.net/players/176/368/23_60.png,36,179,72,1672,344,Incheon United FC,650,63000,RES,2022,22,2021,-,Right,3,2,1,-,-,-,-,Medium,Medium,56,53,59,59,58,59,60,46,60,58,55,60,52,60,59,60,58,54,57,50,63,55,61,48,58,64,76,59,66,59,56,62,56,58,61,7,12,9,6,9,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,15,50000,650,59,59,1672,344,36,179,72,RB,"RB,CB,LWB",Korea Republic,Right,3,56,53,59,59,58,59,Defense,4.698978690138799,2.813580988568192,Other,0.24961307520695347,2.26673445677693,-1.1220361685915987,-0.06600480020882207,0.08989726547259785,-0.4489225450660686,0.4697131240774242,-0.6122995444574523,5.638537242409425,-0.9395585522706265,0.9395585522706265,0.0061633281972265025,TRUE,Kim Chang Soo
I. Latovlevici,Iasmin Latovlevici,66,66,190000,"LB,LM",LB,Romania,https://cdn.sofifa.net/players/204/213/23_60.png,36,175,72,1886,388,Campionii FC Arges,2000,257000,LB,2023,3,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,64,63,66,65,66,64,69,58,62,66,66,64,72,68,65,63,63,65,66,63,74,75,65,47,67,66,77,67,56,64,60,73,66,66,63,16,14,15,7,11,65,63,63,63,63,63,65,65,65,65,66,66,66,66,66,66,20,190000,2000,66,66,1886,388,36,175,72,LB,"LB,LM",Romania,Left,3,64,63,66,65,66,64,Defense,5.278755886707245,3.3012470886362113,Other,1.0301869958458876,2.26673445677693,-0.37369889672103085,0.6675493086568515,0.8098501127006845,0.19358085217651883,0.9574152022035104,-0.09012590649319191,6.159886503695381,-0.8811306169881359,0.8811306169881359,0.006448667465616618,TRUE,I. Latovlevici
C. Fuchs,Christian Fuchs,71,71,325000,"CB,LB",CB,Austria,https://cdn.sofifa.net/players/139/313/23_60.png,36,187,89,1969,394,Charlotte FC,4000,471000,LB,2022,22,2021,-,Left,2,3,2,-,https://cdn.sofifa.net/flags/at.png,-,-,High,Medium,48,66,74,67,72,67,80,57,68,74,72,66,82,76,75,70,42,52,60,67,57,80,74,39,78,73,72,69,64,67,68,73,75,72,70,14,12,15,16,13,68,65,65,65,65,65,68,67,70,67,68,71,68,68,71,68,22,325000,4000,71,71,1969,394,36,187,89,CB,"CB,LB",Austria,Left,2,48,66,74,67,72,67,Defense,5.511884697267532,3.6021685513789974,Other,1.3329329557198666,2.26673445677693,-1.8703734404621664,0.8876155413165536,1.6326533666756406,0.4077486512573813,1.323191760798075,0.22317827628536432,6.362092058306289,-0.8502073610387573,0.8502073610387573,0.006734006734006734,TRUE,C. Fuchs
B. Hinchliffe,Ben Hinchliffe,60,60,40000,GK,GK,England,https://cdn.sofifa.net/players/169/798/23_60.png,34,185,73,1206,342,Stockport County,2000,70000,SUB,2023,1,2016,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,59,60,62,62,40,59,24,10,25,43,12,15,30,28,51,26,37,44,54,54,41,47,55,37,63,17,29,22,17,50,21,55,22,18,12,59,60,62,59,62,31,29,30,30,30,29,35,34,38,34,31,36,31,30,31,30,60,40000,2000,60,60,1206,342,34,185,73,GK,GK,England,Right,3,59,60,62,62,40,59,GK,4.602070848554296,3.3012470886362113,England,-1.4501413501096039,1.843231430260888,-0.8414096916401357,0.4474830759971494,0.3984484857132064,-0.1276708464447749,-0.6276165517062695,-0.6122995444574523,5.715011894774718,-1.1129410462204223,1.1129410462204223,0.0055926496604462705,TRUE,B. Hinchliffe
Han Feng,Feng Han,56,56,15000,GK,GK,China PR,https://cdn.sofifa.net/players/183/031/23_60.png,38,188,80,1195,329,Shijiazhuang Ever Bright F.C.,750,23000,SUB,2022,29,2020,-,Right,2,1,1,-,-,-,-,Medium,Medium,57,54,58,54,51,55,13,14,20,44,17,24,19,14,43,13,50,52,57,54,61,44,66,36,64,15,34,12,13,54,15,65,28,23,18,57,54,58,55,54,31,29,30,30,30,29,35,33,35,33,30,34,30,30,32,30,56,15000,750,56,56,1195,329,38,188,80,GK,GK,China PR,Right,2,57,54,58,54,51,55,GK,4.1761202110560856,2.8756399370041685,China PR,-1.490264308647119,2.6902374832929725,-1.0284940096077777,0.00735061067774528,-0.012953141274271667,-0.9843420427682248,0.042973805717098884,-1.0300384548288606,5.286781890510163,-1.1106616794540773,1.1106616794540773,0.005649717514124294,TRUE,Han Feng
J. Lillis,Josh Lillis,57,57,20000,GK,GK,England,https://cdn.sofifa.net/players/165/502/23_60.png,35,183,79,1098,325,Barrow,850,35000,SUB,2023,12,2020,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,56,56,55,57,44,57,14,14,15,27,11,15,13,11,29,21,46,42,52,55,57,41,68,40,68,13,39,23,13,24,14,60,18,17,17,56,56,55,57,57,29,25,25,25,25,25,27,28,28,28,29,30,29,29,31,29,57,20000,850,57,57,1098,325,35,183,79,GK,GK,England,Right,2,56,56,55,57,44,57,GK,4.301051709845226,2.929929560084588,England,-1.8440758521142995,2.054982943518909,-1.1220361685915987,0.15406143245088,-0.3215043615148802,-0.6630903441469311,-0.38376551264322645,-0.8211689996431565,5.40617039676327,-1.1051186869180434,1.1051186869180434,0.005706785367802317,TRUE,J. Lillis
K. Vermeer,Kenneth Vermeer,64,64,60000,GK,GK,Netherlands,https://cdn.sofifa.net/players/169/181/23_60.png,36,181,78,1253,373,FC Cincinnati,1000,87000,RES,2022,25,2021,-,Right,4,1,2,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,64,61,64,67,53,64,13,13,16,49,11,20,16,13,28,34,55,50,59,58,57,48,79,35,57,13,35,25,19,56,30,59,14,16,14,64,61,64,64,67,33,33,34,34,34,33,39,36,38,36,32,35,32,31,31,31,64,60000,1000,64,64,1253,373,36,181,78,GK,GK,Netherlands,Right,4,64,61,64,67,53,64,GK,4.77815848856469,3.000434077479319,Netherlands,-1.2787068909038566,2.26673445677693,-0.37369889672103085,0.5208384868837168,0.6041492992069455,0.4077486512573813,0.16489932524862042,-0.09012590649319191,5.870665668309805,-1.0925071797451142,1.0925071797451142,0.00576385322148034,TRUE,K. Vermeer
L. Healy,Lorcan Healy,55,59,150000,GK,GK,Republic of Ireland,https://cdn.sofifa.net/players/267/736/23_60.png,22,180,80,1203,323,UCD AFC,500,244000,GK,2022,1,2020,-,Right,2,1,1,-,-,-,-,Medium,Medium,53,59,58,51,52,50,14,22,10,33,5,21,10,38,44,22,50,55,55,55,56,44,65,42,65,9,41,33,8,46,43,35,22,10,14,53,59,58,50,51,30,29,29,29,29,29,33,33,34,33,31,35,31,30,31,30,56,150000,500,55,59,1203,323,22,180,80,GK,GK,Republic of Ireland,Right,2,53,59,58,51,52,50,GK,5.176094154342576,2.699837725867246,Other,-1.4610839751652898,-0.6977867288353652,-1.4026626455430615,0.3741276651105821,-0.012953141274271667,-1.3055937413895184,0.10393656548285965,-1.552212092793121,6.26011409695467,-1.0840199426120938,1.0840199426120938,0.005820921075158364,TRUE,L. Healy
