Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,player,overall,potential,value_eur,age,total_stats,best_position,nationality,position_group,ability_tier,cell
Marcos Llorente,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,https://cdn.sofifa.net/players/226/161/23_60.png,27,184,74,2244,489,Atlético de Madrid,81000,102000000,SUB,2027,14,2019,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,SUB,6,High,Medium,88,79,81,82,78,81,74,80,67,86,66,82,75,63,81,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84,65,83,79,79,74,13,6,6,11,15,84,83,83,83,83,83,85,85,85,85,85,85,85,84,81,84,22,Marcos Llorente,84,85,48000000,27,2244,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Angeliño,José Ángel Esmoris Tasende,83,85,42000000,"LWB,LM",LM,Spain,https://cdn.sofifa.net/players/220/651/23_60.png,25,171,69,2209,461,TSG Hoffenheim,64000,0,LWB,2023,11,2021,TRUE,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,78,71,82,84,76,70,88,70,65,81,63,84,83,76,81,84,85,72,85,82,85,80,72,85,60,69,77,80,79,79,55,81,77,74,80,13,6,13,13,13,78,81,79,79,79,81,82,84,82,84,83,81,83,82,77,82,21,Angeliño,83,85,42000000,25,2209,LM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
O. Dembélé,Ousmane Dembélé,83,86,48000000,"RW,LW",LM,France,https://cdn.sofifa.net/players/231/443/23_60.png,25,178,67,2002,428,FC Barcelona,180000,102000000,RW,2024,7,2017,-,Left,5,5,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,93,77,79,87,36,56,85,75,43,78,76,89,82,64,76,85,94,93,90,78,81,83,58,68,51,76,54,36,77,81,75,80,42,30,33,6,6,14,10,13,79,83,81,81,81,83,85,86,78,86,67,62,67,62,50,62,20,O. Dembélé,83,86,48000000,25,2002,LM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Merino,Mikel Merino Zazón,83,86,47000000,CM,CM,Spain,https://cdn.sofifa.net/players/225/193/23_60.png,26,189,83,2247,477,Real Sociedad,49000,102200000,CM,2025,8,2018,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,73,78,81,82,82,81,77,79,86,84,58,83,80,69,82,85,73,73,75,84,72,84,81,84,79,78,81,84,78,81,60,80,80,84,76,9,12,9,13,14,83,80,81,81,81,80,83,83,85,83,83,85,83,83,84,83,22,Merino,83,86,47000000,26,2247,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Fabián,Fabián Ruiz Peña,83,85,44500000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/226/271/23_60.png,26,189,70,2125,449,Paris Saint-Germain,105000,85700000,SUB,2027,8,2022,-,Left,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,61,79,80,83,74,72,72,79,67,85,67,85,75,61,80,88,67,56,71,81,67,77,46,90,67,85,68,76,81,84,67,85,70,78,75,16,11,7,13,13,79,80,81,81,81,80,84,82,85,82,80,81,80,78,75,78,22,Fabián,83,85,44500000,26,2125,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,83,35000000,"CAM,RM",RM,Brazil,https://cdn.sofifa.net/players/230/481/23_60.png,30,177,75,2098,439,Palmeiras,59000,63000000,RM,2025,10,2022,-,Right,4,4,1,Brazil,https://cdn.sofifa.net/flags/br.png,RM,7,Medium,Low,88,77,83,84,35,72,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,82,69,88,68,78,62,40,82,83,77,81,24,35,33,12,12,13,15,13,81,83,82,82,82,83,83,83,80,83,68,64,68,63,53,63,23,Ronaldo Cabrais,83,83,35000000,30,2098,RM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Raphinha,Raphael Dias Belloli,83,86,48000000,"RW,RM",LM,Brazil,https://cdn.sofifa.net/players/233/419/23_60.png,25,176,68,2129,455,FC Barcelona,180000,102000000,SUB,2027,22,2022,-,Left,4,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,91,79,77,85,50,73,79,77,45,76,72,87,81,79,74,84,90,91,88,83,79,83,74,86,65,79,76,55,82,77,78,80,47,54,38,8,7,13,8,14,79,83,82,82,82,83,83,84,79,84,72,69,72,68,60,68,20,Raphinha,83,86,48000000,25,2129,LM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Carlos Soler,Carlos Soler Barragán,83,88,53000000,"CM,RM,CDM",CM,Spain,https://cdn.sofifa.net/players/234/153/23_60.png,25,180,76,2183,463,Paris Saint-Germain,100000,102000000,SUB,2027,28,2022,-,Right,4,3,2,Spain,https://cdn.sofifa.net/flags/es.png,SUB,17,Medium,Medium,80,77,83,80,71,72,77,78,56,85,66,80,80,85,84,81,78,82,76,83,73,77,58,84,71,76,65,74,78,85,86,76,67,79,68,6,14,7,13,11,78,80,80,80,80,80,83,83,84,83,80,80,80,78,74,78,21,Carlos Soler,83,88,53000000,25,2183,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
T. Lemar,Thomas Lemar,83,86,47000000,"CM,LM,RM",CAM,France,https://cdn.sofifa.net/players/213/565/23_60.png,26,171,66,2215,462,Atlético de Madrid,74000,99900000,SUB,2023,11,2018,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,82,78,83,87,68,64,82,77,54,84,77,88,85,81,80,86,84,81,90,82,85,79,68,80,56,79,63,78,81,85,69,80,55,77,69,11,15,13,7,14,80,83,82,82,82,83,86,86,86,86,81,79,81,79,72,79,23,T. Lemar,83,86,47000000,26,2215,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Henderson,Jordan Henderson,83,83,28500000,"CM,CDM",CM,England,https://cdn.sofifa.net/players/183/711/23_60.png,32,182,80,2190,460,Liverpool,135000,52700000,SUB,2025,14,2011,-,Right,3,3,3,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,8,High,High,66,74,83,78,78,81,82,73,64,85,71,78,80,74,87,83,66,66,66,85,67,77,78,86,78,75,83,81,78,80,64,80,77,81,76,7,13,7,9,13,79,78,78,78,78,78,82,82,83,82,83,83,83,82,81,82,22,J. Henderson,83,83,28500000,32,2190,CM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
Fernando,Fernando Reges Mouta,83,83,12500000,"CDM,CB",CDM,Brazil,https://cdn.sofifa.net/players/184/134/23_60.png,34,183,76,2045,440,Sevilla FC,39000,26300000,CDM,2024,20,2019,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,65,62,76,73,83,81,62,54,74,86,56,71,65,53,80,78,62,67,70,82,62,76,76,81,81,68,84,84,62,79,54,78,83,84,82,7,5,9,3,5,71,70,72,72,72,70,76,74,81,74,80,83,80,80,83,80,16,Fernando,83,83,12500000,34,2045,CDM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
David Silva,David Josué Jiménez Silva,83,83,12000000,"CAM,CM",CAM,Spain,https://cdn.sofifa.net/players/168/542/23_60.png,36,173,67,2015,409,Real Sociedad,37000,25200000,CAM,2023,21,2020,-,Left,2,4,4,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,61,72,86,85,52,53,83,70,53,89,81,84,82,77,84,86,69,55,80,82,89,72,58,65,45,71,56,50,84,89,75,90,58,53,29,6,15,7,6,12,76,80,79,79,79,80,83,83,83,83,69,70,69,64,58,64,21,David Silva,83,83,12000000,36,2015,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
A. Griezmann,Antoine Griezmann,83,83,30500000,"ST,CF,RW",CAM,France,https://cdn.sofifa.net/players/194/765/23_60.png,31,176,73,2235,454,Atlético de Madrid,185000,0,SUB,2023,8,2019,TRUE,Left,3,4,4,France,https://cdn.sofifa.net/flags/fr.png,CAM,7,Medium,Medium,80,82,83,85,52,72,83,82,83,81,85,84,86,85,80,85,79,80,90,85,83,82,88,85,64,81,73,49,88,85,79,89,43,54,50,14,8,14,13,14,83,83,83,83,83,83,83,83,83,83,73,71,73,71,65,71,23,A. Griezmann,83,83,30500000,31,2235,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Luis Alberto,Luis Alberto Romero Alconchel,83,83,35500000,CM,CM,Spain,https://cdn.sofifa.net/players/198/706/23_60.png,29,183,74,1982,412,Lazio,74000,60400000,CM,2025,10,2016,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,54,75,86,83,57,57,69,75,49,91,76,82,86,79,89,90,55,54,68,75,83,78,53,68,64,75,29,59,76,92,56,80,58,58,52,6,8,6,12,11,75,77,79,79,79,77,83,80,83,80,70,73,70,66,61,66,18,Luis Alberto,83,83,35500000,29,1982,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Koke,Jorge Resurrección,83,83,34500000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/193/747/23_60.png,30,176,75,2192,462,Atlético de Madrid,74000,70700000,CM,2024,6,2011,-,Right,4,3,3,Spain,https://cdn.sofifa.net/flags/es.png,CM,8,Medium,Medium,70,72,84,79,78,79,85,69,61,86,56,77,84,77,84,81,72,69,72,84,81,81,59,91,75,75,78,82,76,83,67,85,81,82,70,14,12,5,10,13,77,78,78,78,78,78,82,83,83,83,83,83,83,82,80,82,23,Koke,83,83,34500000,30,2192,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Maddison,James Maddison,82,84,38000000,"CAM,RM",CAM,England,https://cdn.sofifa.net/players/220/697/23_60.png,25,175,73,2090,436,Leicester City,100000,75100000,RM,2024,10,2018,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,73,78,84,85,54,62,81,76,35,84,73,85,86,84,83,86,77,69,84,78,83,83,51,76,53,80,68,44,81,85,74,84,59,65,42,11,14,14,12,14,76,81,80,80,80,81,84,83,82,83,71,71,71,67,59,67,22,J. Maddison,82,84,38000000,25,2090,CAM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
J. Brandt,Julian Brandt,82,85,40000000,"CAM,CM,RM",CAM,Germany,https://cdn.sofifa.net/players/212/194/23_60.png,26,185,83,2027,425,Borussia Dortmund,60000,71000000,SUB,2024,19,2019,-,Right,4,4,3,Germany,https://cdn.sofifa.net/flags/de.png,SUB,20,High,Medium,67,78,82,85,48,65,79,78,52,85,79,86,77,65,81,86,66,67,84,82,83,81,62,80,68,79,39,58,80,84,54,83,44,45,48,11,16,11,8,9,80,81,81,81,81,81,85,84,83,84,71,70,71,67,59,67,22,J. Brandt,82,85,40000000,26,2027,CAM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
F. Wirtz,Florian Wirtz,82,91,66000000,"CAM,CM",CAM,Germany,https://cdn.sofifa.net/players/256/630/23_60.png,19,176,72,1994,428,Bayer 04 Leverkusen,38000,125400000,RES,2027,27,2020,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,78,73,80,86,51,60,77,78,39,82,68,86,76,54,82,88,76,79,85,80,82,67,52,79,50,70,63,45,78,85,60,80,55,57,44,14,14,13,6,10,75,81,80,80,80,81,84,84,81,84,71,70,71,67,58,67,21,F. Wirtz,82,91,66000000,19,1994,CAM,Germany,Midfield,Starter 78-84,Midfield / Starter 78-84
Antony,Antony Matheus dos Santos,82,88,49000000,"RW,RM",LM,Brazil,https://cdn.sofifa.net/players/255/475/23_60.png,22,174,63,2010,436,Manchester United,130000,102900000,RM,2027,21,2022,-,Left,3,5,3,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,93,74,75,86,39,69,79,76,45,75,67,85,80,74,62,88,95,91,92,75,85,73,57,79,62,76,76,39,76,79,66,80,46,37,21,9,10,14,8,13,78,82,80,80,80,82,83,84,76,84,67,63,67,62,53,62,20,Antony,82,88,49000000,22,2010,LM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
B. Saka,Bukayo Saka,82,89,60500000,"RM,LM",LM,England,https://cdn.sofifa.net/players/246/669/23_60.png,20,178,65,2101,449,Arsenal,76000,127100000,RM,2024,7,2018,-,Left,3,3,2,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,11,High,Medium,84,74,78,83,65,65,81,77,45,80,70,84,80,69,65,82,87,82,83,82,83,72,54,80,58,69,66,68,82,81,70,79,65,69,67,7,8,13,9,13,77,81,80,80,80,81,82,83,79,83,78,74,78,76,68,76,19,B. Saka,82,89,60500000,20,2101,LM,England,Midfield,Starter 78-84,Midfield / Starter 78-84
Dani Olmo,Daniel Olmo Carvajal,82,87,46000000,"CAM,CF",CAM,Spain,https://cdn.sofifa.net/players/244/260/23_60.png,24,179,72,2034,419,RB Leipzig,59000,81700000,SUB,2024,7,2020,-,Right,4,4,3,Spain,https://cdn.sofifa.net/flags/es.png,SUB,19,Medium,High,67,76,81,86,50,59,78,74,43,84,76,86,72,75,79,86,77,58,86,83,86,79,55,77,54,77,51,57,82,83,66,82,50,50,44,15,15,13,12,11,77,80,80,80,80,80,85,83,82,83,71,70,71,67,58,67,24,Dani Olmo,82,87,46000000,24,2034,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
A. Tchouaméni,Aurélien Tchouaméni,82,89,61500000,"CM,CDM",CDM,France,https://cdn.sofifa.net/players/241/637/23_60.png,22,187,81,2142,460,Real Madrid CF,145000,138400000,CDM,2028,18,2022,-,Right,3,3,2,France,https://cdn.sofifa.net/flags/fr.png,SUB,8,Medium,High,70,70,79,78,81,82,68,67,74,85,50,78,76,53,84,80,68,71,73,83,70,78,74,84,82,75,82,85,75,82,55,83,81,83,78,9,8,12,12,7,77,76,77,77,77,76,81,79,84,79,81,85,81,81,83,81,19,A. Tchouaméni,82,89,61500000,22,2142,CDM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Lucas Paquetá,Lucas Tolentino Coelho de Lima,82,87,46000000,"CAM,CM,CF",CAM,Brazil,https://cdn.sofifa.net/players/233/927/23_60.png,24,180,72,2188,461,West Ham United,77000,90900000,SUB,2027,11,2022,-,Left,4,5,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,72,78,79,85,69,78,72,79,68,82,74,88,77,74,78,86,71,73,75,81,77,77,78,81,77,77,76,71,80,82,75,88,67,72,63,14,9,12,11,11,81,80,81,81,81,80,84,82,83,82,77,78,77,75,74,75,21,Lucas Paquetá,82,87,46000000,24,2188,CAM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Sergi Darder,Sergi Darder Moll,82,82,30500000,"CM,CDM,CAM",CM,Spain,https://cdn.sofifa.net/players/202/648/23_60.png,28,180,71,2188,472,RCD Espanyol de Barcelona,30000,64099999,CM,2026,10,2018,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,82,74,82,83,74,77,75,69,60,86,74,83,84,65,85,84,81,83,81,77,75,83,60,86,75,78,76,75,75,84,60,85,76,77,75,8,9,9,8,12,78,80,80,80,80,80,82,82,82,82,81,82,81,80,77,80,19,Sergi Darder,82,82,30500000,28,2188,CM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
D. Payet,Dimitri Payet,82,82,12500000,"CAM,LW,ST",CAM,France,https://cdn.sofifa.net/players/177/388/23_60.png,35,175,77,2015,420,Olympique de Marseille,40000,23800000,LF,2024,10,2017,-,Right,4,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,70,78,84,83,40,65,85,75,59,83,76,84,83,81,80,85,71,69,81,79,74,82,34,67,71,80,54,37,82,87,81,83,38,37,39,11,15,9,14,12,80,81,80,80,80,81,82,82,80,82,66,65,66,62,54,62,23,D. Payet,82,82,12500000,35,2015,CAM,France,Midfield,Starter 78-84,Midfield / Starter 78-84
Coutinho,Philippe Coutinho Correia,82,82,29500000,"CAM,LW,CM",CAM,Brazil,https://cdn.sofifa.net/players/189/242/23_60.png,30,172,68,2076,420,Aston Villa,100000,56100000,LW,2026,23,2022,-,Right,4,5,4,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,62,79,80,88,52,59,78,75,48,80,78,89,90,86,77,89,74,53,91,80,92,82,58,74,52,86,59,49,80,82,70,79,55,54,47,12,7,9,14,6,78,81,80,80,80,81,82,82,82,82,70,70,70,66,59,66,20,Coutinho,82,82,29500000,30,2076,CAM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Isco,Francisco Román Alarcón Suárez,82,82,29500000,"CAM,LW,CM",CAM,Spain,https://cdn.sofifa.net/players/197/781/23_60.png,30,176,79,2051,425,Sevilla FC,39000,62000000,SUB,2024,22,2022,-,Right,3,4,3,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,65,75,80,88,59,58,78,76,55,81,67,91,88,76,80,90,68,62,79,75,88,69,60,58,58,78,57,61,77,81,74,82,58,64,51,10,8,12,15,6,77,80,79,79,79,80,82,82,82,82,72,72,72,69,65,69,20,Isco,82,82,29500000,30,2051,CAM,Spain,Midfield,Starter 78-84,Midfield / Starter 78-84
Matheus Cunha,Matheus Santos Carneiro Da Cunha,81,86,39500000,"ST,CAM,LM",CAM,Brazil,https://cdn.sofifa.net/players/240/243/23_60.png,23,184,75,2018,431,Atlético de Madrid,60000,83900000,SUB,2026,9,2021,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,84,82,75,84,32,74,75,84,65,78,75,86,77,64,67,84,81,86,85,82,70,83,74,81,72,82,68,24,83,77,74,82,29,28,32,8,7,13,13,11,83,82,82,82,82,82,83,83,76,83,63,59,63,59,51,59,20,Matheus Cunha,81,86,39500000,23,2018,CAM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Rodrygo,Rodrygo Silva de Goes,81,88,52500000,"RW,LW",RM,Brazil,https://cdn.sofifa.net/players/243/812/23_60.png,21,174,64,1950,410,Real Madrid CF,130000,118100000,RW,2028,21,2019,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,88,76,74,84,32,56,74,80,62,77,67,84,80,73,64,83,88,88,87,78,85,73,74,81,42,74,54,21,79,73,74,82,25,36,32,9,8,12,8,5,78,81,80,80,80,81,81,82,74,82,62,56,62,59,47,59,17,Rodrygo,81,88,52500000,21,1950,RM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
Bruno Guimarães,Bruno Guimarães Moura,81,86,38500000,"CM,CDM",CM,Brazil,https://cdn.sofifa.net/players/247/851/23_60.png,24,182,74,2110,449,Newcastle United,88000,76000000,CM,2026,39,2022,-,Right,2,3,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,69,67,79,81,76,77,68,68,61,84,66,81,75,62,83,82,68,69,74,80,78,64,62,84,75,67,77,78,72,82,65,83,77,79,74,7,11,15,11,11,74,76,76,76,76,76,80,79,83,79,79,82,79,78,77,78,20,Bruno Guimarães,81,86,38500000,24,2110,CM,Brazil,Midfield,Starter 78-84,Midfield / Starter 78-84
