position_group,ability_tier,nationality,n,median_value_eur,median_overall
Defender,Depth/Youth (<70),Italy,125,900000,65
Defender,Depth/Youth (<70),United States,116,537500,63
Defender,Regular (70-77),Brazil,144,2650000,73
Defender,Regular (70-77),Spain,115,3300000,73
Defender,Regular (70-77),Argentina,99,2100000,72
Defender,Regular (70-77),England,96,3000000,72.5
Defender,Regular (70-77),France,96,3600000,73
Defender,Regular (70-77),Germany,87,2900000,73
Defender,Regular (70-77),Italy,70,2350000,72
Defender,Regular (70-77),Netherlands,42,4100000,73
Defender,Starter (78-84),Spain,35,18500000,80
Defender,Starter (78-84),Brazil,34,18500000,79
Defender,Starter (78-84),England,26,19500000,79
Defender,Starter (78-84),France,24,28500000,80
Defender,Starter (78-84),Italy,19,17500000,80
Defender,Starter (78-84),Germany,12,26000000,81.5
Defender,Starter (78-84),Netherlands,11,24000000,80
Defender,Starter (78-84),Portugal,9,21000000,80
Defender,Elite (85+),Brazil,2,52000000,87
Defender,Elite (85+),Germany,2,66250000,86
Defender,Elite (85+),Netherlands,2,84500000,87.5
Defender,Elite (85+),Portugal,2,95000000,88
Defender,Elite (85+),Spain,2,46250000,85.5
Defender,Elite (85+),Argentina,1,46500000,85
Defender,Elite (85+),Austria,1,55500000,86
Defender,Elite (85+),England,1,37500000,85
Goalkeeper,Depth/Youth (<70),England,138,337500,62
Goalkeeper,Depth/Youth (<70),Germany,134,475000,62
Goalkeeper,Depth/Youth (<70),Spain,73,875000,63
Goalkeeper,Depth/Youth (<70),France,69,650000,64
Goalkeeper,Depth/Youth (<70),United States,61,275000,61
Goalkeeper,Depth/Youth (<70),Italy,59,325000,63
Goalkeeper,Depth/Youth (<70),Poland,55,350000,60
Goalkeeper,Depth/Youth (<70),China PR,50,135000,56
Goalkeeper,Regular (70-77),Brazil,31,1900000,72
Goalkeeper,Regular (70-77),Argentina,30,1012500,71
Goalkeeper,Regular (70-77),Germany,29,1500000,72
Goalkeeper,Regular (70-77),Spain,28,1700000,73
Goalkeeper,Regular (70-77),Italy,22,1600000,72.5
Goalkeeper,Regular (70-77),France,19,2000000,73
Goalkeeper,Regular (70-77),England,18,2150000,73
Goalkeeper,Regular (70-77),Netherlands,10,1550000,71
Goalkeeper,Starter (78-84),Spain,12,13500000,79.5
Goalkeeper,Starter (78-84),Argentina,9,17500000,80
Goalkeeper,Starter (78-84),Italy,9,14000000,79
Goalkeeper,Starter (78-84),Brazil,6,13250000,79.5
Goalkeeper,Starter (78-84),Germany,6,14250000,79.5
Goalkeeper,Starter (78-84),Portugal,6,19000000,80.5
Goalkeeper,Starter (78-84),England,4,22000000,81.5
Goalkeeper,Starter (78-84),Belgium,3,13000000,80
Goalkeeper,Elite (85+),Germany,3,36000000,88
Goalkeeper,Elite (85+),Brazil,2,83500000,89
Goalkeeper,Elite (85+),France,2,44500000,87
Goalkeeper,Elite (85+),Belgium,1,90000000,90
Goalkeeper,Elite (85+),Costa Rica,1,10000000,88
Goalkeeper,Elite (85+),Hungary,1,26500000,85
Goalkeeper,Elite (85+),Italy,1,103500000,88
Goalkeeper,Elite (85+),Poland,1,33500000,86
